transit_timestamp,transit_mode,station_complex_id,station_complex,Line,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
02/01/22 8:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Other,11,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 8:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Students,3,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 8:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,30,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 8:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,46,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 8:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Fair Fare,13,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 8:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Seniors & Disability,19,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 8:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Other,19,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 8:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Full Fare,170,1,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 8:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,102,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 8:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Students,6,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 8:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,55,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 8:00:00,subway,47,"Newkirk Plaza (B,Q)",Q,Brooklyn,metrocard,Metrocard - Fair Fare,32,2,40.63508224,-73.96279144,POINT (-73.9627914428711 40.63508224487305)
02/01/22 8:00:00,subway,47,"Newkirk Plaza (B,Q)",Q,Brooklyn,metrocard,Metrocard - Other,32,0,40.63508224,-73.96279144,POINT (-73.9627914428711 40.63508224487305)
02/01/22 8:00:00,subway,47,"Newkirk Plaza (B,Q)",Q,Brooklyn,metrocard,Metrocard - Full Fare,235,11,40.63508224,-73.96279144,POINT (-73.9627914428711 40.63508224487305)
02/01/22 9:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Fair Fare,5,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 9:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Full Fare,45,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 9:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Students,4,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 9:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Seniors & Disability,7,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 9:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Other,11,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 9:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,20,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 9:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,16,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 9:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Fair Fare,8,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 9:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Full Fare,110,1,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 9:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Other,8,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 9:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Seniors & Disability,7,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 9:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,37,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 9:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Students,2,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 9:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,55,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 9:00:00,subway,47,"Newkirk Plaza (B,Q)",Q,Brooklyn,metrocard,Metrocard - Fair Fare,19,0,40.63508224,-73.96279144,POINT (-73.9627914428711 40.63508224487305)
02/01/22 10:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Full Fare,35,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 10:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Fair Fare,2,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 10:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Other,4,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 10:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Students,1,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 10:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Seniors & Disability,5,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 10:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,13,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 10:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,16,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 10:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Fair Fare,7,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 10:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Seniors & Disability,11,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 10:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Other,15,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 10:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Full Fare,65,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 10:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Students,3,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 10:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,20,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 10:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,22,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 10:00:00,subway,47,"Newkirk Plaza (B,Q)",Q,Brooklyn,metrocard,Metrocard - Fair Fare,14,0,40.63508224,-73.96279144,POINT (-73.9627914428711 40.63508224487305)
02/01/22 11:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Full Fare,31,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 11:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Fair Fare,3,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 11:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Other,5,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 11:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Seniors & Disability,5,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 11:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Students,4,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 11:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,9,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 11:00:00,subway,45,Beverley Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,9,0,40.64403152,-73.9644928,POINT (-73.96449279785156 40.6440315246582)
02/01/22 11:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Fair Fare,4,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 11:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Seniors & Disability,14,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 11:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Other,6,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 11:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Full Fare,57,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 11:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 30-Day,29,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 11:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Students,8,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
02/01/22 11:00:00,subway,46,Cortelyou Rd (Q),Q,Brooklyn,metrocard,Metrocard - Unlimited 7-Day,21,0,40.64092636,-73.96389008,POINT (-73.9638900756836 40.640926361083984)
