 Arrived: 02/1/22 3:00:00, 464, Vernon Blvd-Jackson Av (7), Queens, 1
 Arrived: 02/1/22 3:00:00, 47, Newkirk Plaza (B,Q), Brooklyn, 1
 Arrived: 02/1/22 4:00:00, 445, Pelham Pkwy (5), Bronx, 1
 Arrived: 02/1/22 4:00:00, 446, Morris Park (5), Bronx, 1
 Arrived: 02/1/22 4:00:00, 446, Morris Park (5), Bronx, 1
 Arrived: 02/1/22 4:00:00, 446, Morris Park (5), Bronx, 1
 Arrived: 02/1/22 4:00:00, 447, Flushing-Main St (7), Queens, 90
 Arrived: 02/1/22 4:00:00, 447, Flushing-Main St (7), Queens, 9
 Arrived: 02/1/22 4:00:00, 447, Flushing-Main St (7), Queens, 24
 Arrived: 02/1/22 4:00:00, 447, Flushing-Main St (7), Queens, 12
 Arrived: 02/1/22 4:00:00, 447, Flushing-Main St (7), Queens, 36
 Arrived: 02/1/22 4:00:00, 447, Flushing-Main St (7), Queens, 48
 Arrived: 02/1/22 4:00:00, 448, Mets-Willets Point (7), Queens, 8
 Arrived: 02/1/22 4:00:00, 448, Mets-Willets Point (7), Queens, 4
 Arrived: 02/1/22 4:00:00, 448, Mets-Willets Point (7), Queens, 1
 Arrived: 02/1/22 4:00:00, 449, 111 St (7), Queens, 3
 Arrived: 02/1/22 4:00:00, 448, Mets-Willets Point (7), Queens, 1
 Arrived: 02/1/22 4:00:00, 449, 111 St (7), Queens, 3
 Arrived: 02/1/22 4:00:00, 449, 111 St (7), Queens, 46
 Arrived: 02/1/22 4:00:00, 449, 111 St (7), Queens, 40
 Arrived: 02/1/22 4:00:00, 449, 111 St (7), Queens, 12
 Arrived: 02/1/22 4:00:00, 45, Beverley Rd (Q), Brooklyn, 3
 Arrived: 02/1/22 4:00:00, 45, Beverley Rd (Q), Brooklyn, 1
 Arrived: 02/1/22 4:00:00, 45, Beverley Rd (Q), Brooklyn, 2
 Arrived: 02/1/22 4:00:00, 45, Beverley Rd (Q), Brooklyn, 2
 Arrived: 02/1/22 4:00:00, 45, Beverley Rd (Q), Brooklyn, 3
 Arrived: 02/1/22 4:00:00, 450, 103 St-Corona Plaza (7), Queens, 9
 Arrived: 02/1/22 4:00:00, 450, 103 St-Corona Plaza (7), Queens, 71
